classifier,Accuracy,Accuracy Std,Precision,Precision Std,Recall,Recall Std,F1,F1 Std,G-Mean,G-Mean Std,ROC AUC
DT,0.7528089887640449,0.43137873753825773,0.5294117647058824,0.3014923115730054,0.391304347826087,0.3014923115730054,0.45,0.3014923115730054,0.5864072968394589,0.43137873753825773,0.5619235836627141
GB,0.5842696629213483,0.4928474651564339,0.20833333333333334,0.23026855653841793,0.21739130434782608,0.23026855653841793,0.2127659574468085,0.23026855653841793,0.3934576967817318,0.4928474651564339,0.4249011857707509
LR,0.5393258426966292,0.4984510789397491,0.25,0.3014923115730054,0.391304347826087,0.3014923115730054,0.3050847457627119,0.3014923115730054,0.4808589153199593,0.4984510789397491,0.48155467720685113
MLP,0.5842696629213483,0.4928474651564339,0.28125,0.3014923115730053,0.391304347826087,0.3014923115730053,0.3272727272727273,0.3014923115730053,0.504916539105673,0.4928474651564339,0.6007905138339921
NB,0.5393258426966292,0.49845107893974905,0.21875,0.2691943494541784,0.30434782608695654,0.2691943494541784,0.2545454545454546,0.2691943494541784,0.4348155455245087,0.49845107893974905,0.40250329380764155
RF,0.5730337078651685,0.4946373191697784,0.2,0.23026855653841793,0.21739130434782608,0.23026855653841793,0.20833333333333331,0.23026855653841793,0.3892494720807615,0.4946373191697784,0.42358366271409753
SVM,0.7415730337078652,0.4377698817702957,0.5,0.10540260134434672,0.043478260869565216,0.10540260134434672,0.08,0.10540260134434672,0.20692873010106275,0.4377698817702957,0.37944664031620556
KNN,0.6067415730337079,0.48847337346705977,0.3333333333333333,0.34154346412518344,0.5217391304347826,0.34154346412518344,0.4067796610169491,0.34154346412518344,0.5762081310400607,0.48847337346705977,0.5721343873517786
AB,0.5056179775280899,0.4999684373322919,0.1111111111111111,0.18047616184504506,0.13043478260869565,0.18047616184504506,0.12,0.18047616184504506,0.2881040655200304,0.4999684373322919,0.3517786561264822
LSVM,0.5730337078651685,0.4946373191697784,0.2972972972972973,0.32911951721071486,0.4782608695652174,0.32911951721071486,0.3666666666666667,0.32911951721071486,0.5383819020581655,0.4946373191697784,0.52832674571805
